ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
DivSlit	3.0mm
DivH.L.Slit	10mm
SctSlit	open
RecSlit	open
Start	114
Stop	119
Step	0.01
116.25	86562
116.26	86041
116.27	85449
116.28	85896
116.29	85925
116.3	85750
116.31	85913
116.32	85682
116.33	85889
116.34	86272
116.35	85988
116.36	85880
116.37	85557
116.38	85689
116.39	86136
116.4	85070
116.41	85643
116.42	84834
116.43	85591
116.44	85414
116.45	85793
116.46	85490
116.47	85290
116.48	85764
116.49	85285
116.5	85146
116.51	84925
116.52	84756
116.53	85108
116.54	84888
116.55	85363
116.56	84528
116.57	84818
116.58	85078
116.59	84835
116.6	84674
116.61	84494
116.62	84612
116.63	84681
116.64	84420
116.65	84571
116.66	84121
116.67	83694
116.68	84565
116.69	83772
116.7	83586
116.71	83556
116.72	84413
116.73	83914
116.74	84299
116.75	83514
116.76	84023
116.77	84053
116.78	83868
116.79	83523
116.8	83654
116.81	83482
116.82	83012
116.83	83392
116.84	83273
116.85	82386
116.86	82744
116.87	82723
116.88	82964
116.89	82170
116.9	82845
116.91	83045
116.92	83129
116.93	83119
116.94	82726
116.95	82879
116.96	83025
116.97	82849
116.98	82755
116.99	81826
117	82629
117.01	82534
117.02	82554
117.03	82258
117.04	82225
117.05	81793
117.06	82001
117.07	81594
117.08	82175
117.09	82042
117.1	82135
117.11	81666
117.12	82218
117.13	82063
117.14	81620
117.15	81765
117.16	81732
117.17	81081
117.18	81808
117.19	81887
117.2	82018
117.21	81779
117.22	81530
117.23	81631
117.24	81591
117.25	81369
117.26	81762
117.27	81175
117.28	81263
117.29	81206
117.3	81575
117.31	81722
117.32	81396
117.33	81614
117.34	80939
117.35	81305
117.36	81012
117.37	80942
117.38	80673
117.39	81060
117.4	81453
117.41	80855
117.42	81083
117.43	81294
117.44	80907
117.45	80604
117.46	81112
117.47	81226
117.48	80766
117.49	80976
117.5	80772
117.51	80916
117.52	81126
117.53	81250
117.54	81400
117.55	80855
117.56	81233
117.57	80538
117.58	80692
117.59	80486
117.6	80769
117.61	80605
117.62	80719
117.63	80615
117.64	80802
117.65	81233
117.66	80883
117.67	80776
117.68	80925
117.69	81075
117.7	80613
117.71	80701
117.72	80871
117.73	81002
117.74	81207
117.75	81173
117.76	81007
117.77	80634
117.78	80701
